photo_id,country_shortcode,country,state,city
351939,tw,Taiwan,,
351940,tw,Taiwan,,
351941,tw,Taiwan,,
363162,si,Slovenia,"Upravna Enota Ljubljana",Staje
363163,si,Slovenia,"Upravna Enota Ljubljana",Staje
363164,si,Slovenia,"Upravna Enota Ljubljana",Staje
363165,si,Slovenia,"Upravna Enota Ljubljana",Staje
363166,si,Slovenia,"Upravna Enota Ljubljana",Staje
363167,si,Slovenia,"Upravna Enota Ljubljana",Staje
363168,si,Slovenia,"Upravna Enota Ljubljana",Staje
363169,si,Slovenia,"Upravna Enota Ljubljana",Staje
363170,si,Slovenia,"Upravna Enota Ljubljana",Staje
363171,si,Slovenia,"Upravna Enota Ljubljana",Staje
363172,si,Slovenia,"Upravna Enota Ljubljana",Staje
363173,si,Slovenia,"Upravna Enota Ljubljana",Staje
363174,si,Slovenia,"Upravna Enota Ljubljana",Vrbljene
363175,si,Slovenia,"Upravna Enota Ljubljana",Vrbljene
363176,si,Slovenia,"Upravna Enota Ljubljana",Vrbljene
363177,si,Slovenia,"Upravna Enota Ljubljana",Vrbljene
363178,si,Slovenia,"Upravna Enota Ljubljana",Vrbljene
363179,si,Slovenia,"Upravna Enota Ljubljana",Vrbljene
367719,de,Deutschland,Neukölln,Berlin
367720,de,Deutschland,Neukölln,Berlin
367721,de,Deutschland,Neukölln,Berlin
367722,de,Deutschland,Neukölln,Berlin
367723,de,Deutschland,Neukölln,Berlin
367724,de,Deutschland,Treptow-Köpenick,Berlin
367725,de,Deutschland,Treptow-Köpenick,Berlin
367726,de,Deutschland,Treptow-Köpenick,Berlin
368177,de,Deutschland,Neukölln,Berlin
368179,de,Deutschland,Neukölln,Berlin
368180,de,Deutschland,Neukölln,Berlin
369942,hk,"Hong Kong",,
369943,hk,"Hong Kong",,
369978,hk,"Hong Kong",,
376777,ca,Canada,"Nova Scotia",
376778,ca,Canada,"Nova Scotia",
376779,ca,Canada,"Nova Scotia",
377346,ca,Canada,"Nova Scotia",
377348,ca,Canada,"Nova Scotia",
377360,ca,Canada,"Nova Scotia",
377380,ca,Canada,"Nova Scotia",
377381,ca,Canada,"Nova Scotia",
377383,ca,Canada,"Nova Scotia",
377384,ca,Canada,"Nova Scotia",
396446,mw,Malawi,Chiradzulu,
396477,mw,Malawi,Salima,
396478,mw,Malawi,Salima,
396479,mw,Malawi,Salima,
396480,mw,Malawi,Salima,
397277,ro,Romania,,
397278,ro,Romania,,
397279,ro,Romania,,
397280,ro,Romania,,
397281,ro,Romania,,
397282,ro,Romania,,
398167,mx,México,,
398168,mx,México,,
398169,mx,México,,
398170,mx,México,,
398171,mx,México,,
398172,mx,México,,
398173,mx,México,,
398174,mx,México,,
398175,mx,México,,
398176,mx,México,,
398177,mx,México,,
398178,mx,México,,
398179,mx,México,,
398180,mx,México,,
398181,mx,México,,
398182,mx,México,,
398183,mx,México,,
398184,mx,México,,
398185,mx,México,,
398186,mx,México,,
398187,mx,México,,
398188,mx,México,,
398189,mx,México,,
398190,mx,México,,
398191,mx,México,,
398192,mx,México,,
398193,mx,México,,
398194,mx,México,,
398195,mx,México,,
398196,mx,México,,
398197,mx,México,,
398198,mx,México,,
