object_id,object_key,in_tagsconfig,total_items,pivotless_items,proposed_disposition,proposed_canonical_key,proposed_categories,information_gained_or_lost,export_api_impact,blockers,review_status,approved_by,approved_date,notes
99,appliance,yes,0,0,keep,appliance,other,,none,,PENDING,,,
117,ashtray,yes,0,0,keep,ashtray,smoking,,none,,PENDING,,,
180,automobile,no,987,987,"merge (proposed)",car_part,vehicles,,"CSV column 'automobile' disappears; quantities move to target column",,PENDING,,,
36,bag,yes,1718,1662,"REVIEW — canonical object tagged in a category with no pivot",bag,food,"target may be generic ""other"" — check manifest","CSV column 'bag' disappears; quantities move to target column","decide: add pivot for that category, or move category",PENDING,,,
15,bags_litter,yes,161,0,keep,bags_litter,civic|other,,none,,PENDING,,,
176,bagsLitter,no,2239,2239,"merge (proposed)",bags_litter,other,,"CSV column 'bagsLitter' disappears; quantities move to target column",,PENDING,,,
96,balloon,yes,28,0,keep,balloon,other,,none,,PENDING,,,
178,balloons,no,2491,2491,"REVIEW — merge to generic",balloon,other|marine,"LOSSY: collapses into generic ""other"" — specific meaning discarded","CSV column 'balloons' disappears; quantities move to target column",,PENDING,,,
78,bandage,yes,2,0,keep,bandage,medical,,none,,PENDING,,,
181,batteries,no,363,363,"merge (proposed)",battery,electronics,,"CSV column 'batteries' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
29,battery,yes,3,0,keep,battery,electronics|vehicles,,none,,PENDING,,,
138,beer_bottle,no,18074,18074,"merge (proposed)",bottle+type:beer,alcohol,,"CSV column 'beer_bottle' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
137,beer_can,no,26488,26488,"merge (proposed)",can+type:beer,alcohol,,"CSV column 'beer_can' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
127,bicycle,yes,1,0,keep,bicycle,vehicles,,none,,PENDING,,,
16,blocked_drain,yes,5,0,keep,blocked_drain,civic,,none,,PENDING,,,
192,books,no,71,71,"REVIEW — merge to generic",other,other,"LOSSY: collapses into generic ""other"" — specific meaning discarded","CSV column 'books' disappears; quantities move to target column",,PENDING,,,
2,bottle,yes,2233,1070,"REVIEW — canonical object tagged in a category with no pivot",bottle,alcohol|softdrinks,"target may be generic ""other"" — check manifest","CSV column 'bottle' disappears; quantities move to target column","decide: add pivot for that category, or move category; BrandsConfig references this key — must update in same change",PENDING,,,
4,bottle_cap,yes,225,0,keep,bottle_cap,alcohol|softdrinks,,none,,PENDING,,,
146,bottletops,no,13018,13018,"merge (proposed)",bottle_cap,alcohol,,"CSV column 'bottletops' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
37,box,yes,176,0,keep,box,food|smoking,,none,,PENDING,,,
58,bricks,yes,242,0,keep,bricks,industrial,,none,,PENDING,,,
3,broken_glass,yes,107,0,keep,broken_glass,alcohol|softdrinks,,none,,PENDING,,,
164,brokenglass,no,8160,8160,"merge (proposed)",broken_glass,alcohol|softdrinks,,"CSV column 'brokenglass' disappears; quantities move to target column",,PENDING,,,
128,bumper,yes,0,0,keep,bumper,vehicles,,none,,PENDING,,,
63,buoy,yes,0,0,keep,buoy,marine,,none,,PENDING,,,
196,buoys,no,189,189,"merge (proposed)",buoy,marine,,"CSV column 'buoys' disappears; quantities move to target column",,PENDING,,,
118,butts,yes,145241,0,keep,butts,smoking,,none,,PENDING,,,
30,cable,yes,1,0,keep,cable,electronics,,none,,PENDING,,,
95,cable_tie,yes,17,0,keep,cable_tie,other,,none,,PENDING,,,
187,cableTie,no,1203,1203,"merge (proposed)",cable_tie,other,,"CSV column 'cableTie' disappears; quantities move to target column",,PENDING,,,
5,can,yes,538,0,keep,can,alcohol|food|softdrinks,,none,,PENDING,,,
129,car_part,yes,15,0,keep,car_part,vehicles,,none,,PENDING,,,
124,carton,yes,117,0,keep,carton,softdrinks,,none,,PENDING,,,
31,charger,yes,0,0,keep,charger,electronics,,none,,PENDING,,,
195,chemical,no,36,36,"merge (proposed)",chemical_container,industrial,,"CSV column 'chemical' disappears; quantities move to target column",,PENDING,,,
56,chemical_container,yes,1,0,keep,chemical_container,industrial,,none,,PENDING,,,
38,chopsticks,yes,0,0,keep,chopsticks,food,,none,,PENDING,,,
141,cigarette_box,no,10245,10245,"merge (proposed)",box+type:cigarette,smoking,,"CSV column 'cigarette_box' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
88,clothing,yes,2899,0,keep,clothing,other,,none,,PENDING,,,
