object_id,object_key,crowdsourced,in_tagsconfig,tagsconfig_categories,pivot_categories,tagged_categories,total_tag_rows,total_items,total_photos,pairs_total,pairs_pivotless,pivotless_items,cfg_materials,cfg_types,rows_with_type,ref_tagsconfig,ref_brandsconfig,ref_classifyservice,ref_fixorphaned,ref_translations,ref_other_app_code,duplicate_candidates,duplicate_reason
99,appliance,0,yes,other,other,,0,0,0,0,0,0,,,0,1,0,0,0,1,0,,
117,ashtray,0,yes,smoking,smoking,,0,0,0,0,0,0,glass|ceramic|metal,,0,1,0,0,0,1,0,,
180,automobile,1,no,,,other,794,987,794,1,1,987,,,0,0,0,1,1,3,2,,
36,bag,0,yes,food,food,food|marine,1216,1718,1216,2,1,1662,plastic|paper|cloth|bioplastic,,0,1,0,1,0,1,0,,
15,bags_litter,0,yes,civic|other,civic|other,civic|other,49,161,49,2,0,0,,,0,2,0,1,0,1,3,bagsLitter#176,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
176,bagsLitter,1,no,,,other,1041,2239,1041,1,1,2239,,,0,0,0,1,1,1,0,bags_litter#15,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
96,balloon,0,yes,other,other,other,24,28,24,1,0,0,plastic|latex,,0,1,0,0,0,0,0,balloons#178,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
178,balloons,1,no,,,marine|other,2180,2491,2180,2,2,2491,,,0,0,0,0,2,2,2,balloon#96,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
78,bandage,0,yes,medical,medical,medical,2,2,2,1,0,0,cotton|elastic,,0,1,0,0,0,1,0,,
181,batteries,1,no,,,other,291,363,291,1,1,363,,,0,0,1,0,1,1,1,,
29,battery,0,yes,electronics|vehicles,electronics|vehicles,electronics,3,3,3,1,0,0,metal|plastic,alkaline|lithium|rechargeable,1,2,0,0,0,2,0,,
138,beer_bottle,1,no,,,alcohol,7337,18074,7337,1,1,18074,,,0,0,14,1,1,1,0,,
137,beer_can,1,no,,,alcohol,19275,26488,19275,1,1,26488,,,0,0,13,1,2,1,0,,
127,bicycle,0,yes,vehicles,vehicles,vehicles,1,1,1,1,0,0,,,0,1,0,0,0,0,0,,
16,blocked_drain,0,yes,civic,civic,civic,5,5,5,1,0,0,,,0,1,0,0,0,0,0,,
192,books,1,no,,,other,38,71,38,1,1,71,,,0,0,0,0,1,1,1,,
2,bottle,0,yes,alcohol|softdrinks,alcohol|softdrinks,alcohol|marine|softdrinks,1793,2233,1783,3,1,1070,glass|plastic,beer|wine|spirits|cider|premixed|unknown|water|soda|juice|energy|sports|tea|milk|smoothie,941,2,1,1,0,0,1,,
4,bottle_cap,0,yes,alcohol|softdrinks,alcohol|softdrinks,alcohol|softdrinks,217,225,217,2,0,0,metal|plastic|cork,,0,2,0,0,0,0,0,,
146,bottletops,1,no,,,alcohol,4902,13018,4902,1,1,13018,,,0,0,8,0,1,0,0,,
37,box,0,yes,food|smoking,food|smoking,food|smoking,168,176,168,2,0,0,cardboard|plastic|wood|metal|foil,cigarette|match|unknown,139,2,0,0,0,1,0,,
58,bricks,0,yes,industrial,industrial,industrial,83,242,83,1,0,0,clay|concrete|stone,,0,1,0,0,0,1,1,,
3,broken_glass,0,yes,alcohol|softdrinks,alcohol|softdrinks,alcohol|softdrinks,79,107,79,2,0,0,glass,,0,2,0,1,0,1,1,brokenglass#164,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
164,brokenglass,1,no,,,alcohol|softdrinks,3412,8160,3412,2,2,8160,,,0,0,0,0,2,0,0,broken_glass#3,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
128,bumper,0,yes,vehicles,vehicles,,0,0,0,0,0,0,plastic|metal,,0,1,0,0,0,1,0,,
63,buoy,0,yes,marine,marine,,0,0,0,0,0,0,plastic|foam|metal,,0,1,0,0,0,0,0,buoys#196,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
196,buoys,1,no,,,marine,145,189,145,1,1,189,,,0,0,0,0,1,1,1,buoy#63,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
118,butts,0,yes,smoking,smoking,smoking,82848,145241,82848,1,0,0,plastic|paper,,0,1,3,2,0,1,1,,
30,cable,0,yes,electronics,electronics,electronics,1,1,1,1,0,0,plastic|copper,,0,1,0,0,0,1,0,,
95,cable_tie,0,yes,other,other,other,14,17,14,1,0,0,,,0,1,0,1,0,1,1,cableTie#187,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
187,cableTie,1,no,,,other,1021,1203,1021,1,1,1203,,,0,0,0,1,1,1,0,cable_tie#95,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
5,can,0,yes,alcohol|food|softdrinks,alcohol|food|softdrinks,alcohol|food|softdrinks,511,538,502,3,0,0,aluminium|steel,beer|cider|spirits|premixed|unknown|soda|energy|juice|iced_tea|sparkling_water,334,3,0,0,0,1,1,,
129,car_part,0,yes,vehicles,vehicles,vehicles,11,15,11,1,0,0,metal|plastic|rubber|glass,,0,1,0,0,0,1,0,,
124,carton,0,yes,softdrinks,softdrinks,softdrinks,108,117,108,1,0,0,cardboard|foil|plastic,juice|milk|iced_tea|plant_milk|unknown,66,1,0,0,0,0,0,,
31,charger,0,yes,electronics,electronics,,0,0,0,0,0,0,plastic|metal,,0,1,0,0,0,1,0,,
195,chemical,1,no,,,industrial,27,36,27,1,1,36,,,0,0,0,0,1,1,1,,
56,chemical_container,0,yes,industrial,industrial,industrial,1,1,1,1,0,0,plastic|metal|glass,,0,1,0,0,0,0,0,,
38,chopsticks,0,yes,food,food,,0,0,0,0,0,0,wood|bamboo|plastic,,0,1,0,0,0,0,0,,
141,cigarette_box,1,no,,,smoking,9803,10245,9803,1,1,10245,,,0,0,3,1,1,1,0,,
88,clothing,0,yes,other,other,other,2524,2899,2524,1,0,0,,,0,1,2,0,0,1,1,,
115,condom,0,yes,sanitary,sanitary,sanitary,1,1,1,1,0,0,latex,,0,1,1,0,0,0,0,condoms#158,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
116,condom_wrapper,0,yes,sanitary,sanitary,sanitary,2,2,2,1,0,0,plastic|foil,,0,1,0,0,0,1,0,,
158,condoms,1,no,,,sanitary,190,366,190,1,1,366,,,0,0,0,0,1,1,1,condom#115,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
57,construction,0,yes,industrial,industrial,industrial,15,27,15,1,0,0,clay|concrete|plastic|metal|fiberglass|foam|asphalt|ceramic|stone,,0,1,0,0,0,1,0,,
39,container,0,yes,food|industrial,food|industrial,food,36,38,36,1,0,0,plastic|metal,,0,2,0,0,0,1,0,,
64,cotton_bud_stick,0,yes,marine,marine,marine,1,1,1,1,0,0,plastic,,0,1,0,0,0,0,0,,
65,crate,0,yes,marine,marine,,0,0,0,0,0,0,plastic,,0,1,0,0,0,0,0,,
163,crisp_large,1,no,,,food,431,469,431,1,1,469,,,0,0,3,0,1,1,1,,
40,crisp_packet,0,yes,food,food,food,58,58,58,1,0,0,foil|plastic,,0,1,0,0,0,0,0,,
157,crisp_small,1,no,,,food,4654,5037,4654,1,1,5037,,,0,0,4,0,1,1,1,,
6,cup,0,yes,alcohol|coffee|softdrinks,alcohol|coffee|softdrinks,alcohol|coffee|softdrinks,24613,27900,24519,3,0,0,plastic|paper|foam|ceramic|metal|bioplastic,tea|soda|smoothie|unknown,111,3,33,5,0,3,0,,
22,cup_carrier,0,yes,coffee|softdrinks,coffee|softdrinks,coffee,1,1,1,1,0,0,cardboard|plastic,,0,2,0,0,0,0,0,,
41,cutlery,0,yes,food,food,food,2730,3249,2730,1,0,0,plastic|wood|bioplastic|bamboo|metal,,0,1,1,1,0,1,0,,
