seq,source_category_key,source_category_id,source_object_key,source_object_id,source_object_canonical,tag_rows,items,photos,target_category_key,target_category_id,target_object_key,target_object_id,target_clo_id,target_type_key,target_type_id,op_object_merge,op_category_move,op_type_expansion,op_to_generic_other,information_loss,recommendation,review_status,approved_by,notes
1,alcohol,2,beer_bottle,138,no,7337,18074,7337,alcohol,2,bottle,2,2,beer,1,yes,no,yes,no,,PROPOSED,PENDING,,
2,alcohol,2,beer_can,137,no,19275,26488,19275,alcohol,2,can,5,5,beer,1,yes,no,yes,no,,PROPOSED,PENDING,,
3,alcohol,2,bottletops,146,no,4902,13018,4902,alcohol,2,bottle_cap,4,4,,,yes,no,no,no,,PROPOSED,PENDING,,
4,alcohol,2,brokenglass,164,no,3370,8015,3370,alcohol,2,broken_glass,3,3,,,yes,no,no,no,,PROPOSED,PENDING,,
5,alcohol,2,spirits_bottle,144,no,2661,3457,2661,alcohol,2,bottle,2,2,spirits,3,yes,no,yes,no,,PROPOSED,PENDING,,
6,alcohol,2,wine_bottle,139,no,638,863,638,alcohol,2,bottle,2,2,wine,2,yes,no,yes,no,,PROPOSED,PENDING,,
7,art,3,item,185,no,42,43,42,art,3,other,1,16,,,yes,no,no,yes,"LOSSY: ""item"" becomes generic other","REVIEW — consider adding canonical object",PENDING,,
8,food,8,crisp_large,163,no,431,469,431,food,8,crisp_packet,40,49,,,yes,no,no,no,,PROPOSED,PENDING,,
9,food,8,crisp_small,157,no,4654,5037,4654,food,8,crisp_packet,40,49,,,yes,no,no,no,,PROPOSED,PENDING,,
10,food,8,glass_jar,159,no,131,188,131,food,8,jar,43,52,,,yes,no,no,no,,PROPOSED,PENDING,,
11,industrial,9,chemical,195,no,27,36,27,industrial,9,chemical_container,56,69,,,yes,no,no,no,,PROPOSED,PENDING,,
12,industrial,9,oil,198,no,57,69,57,industrial,9,oil_container,54,67,,,yes,no,no,no,,PROPOSED,PENDING,,
