object_id,object_key,in_tagsconfig,total_items,pivotless_items,categories_used,proposed_action,uncertainty,status,decision,decided_by,decided_at,notes
99,appliance,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
117,ashtray,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
180,automobile,no,987,987,other,"merge → vehicles/car_part","legacy key not in TagsConfig; CATEGORY MOVE to vehicles",PENDING,,,,
36,bag,yes,1718,1662,food|marine,"merge → marine/other","LOSSY: proposed merge into generic ""other""; canonical object tagged in a category with no pivot",PENDING,,,,
176,bagsLitter,no,2239,2239,other,"merge → other/bags_litter","legacy key not in TagsConfig; duplicate candidate: bags_litter (CANDIDATE ONLY)",PENDING,,,,
15,bags_litter,yes,161,0,civic|other,keep,"duplicate candidate: bagsLitter (CANDIDATE ONLY)",PENDING,,,,
96,balloon,yes,28,0,other,keep,"duplicate candidate: balloons (CANDIDATE ONLY)",PENDING,,,,
178,balloons,no,2491,2491,marine|other,"merge → other/balloon , marine/other","legacy key not in TagsConfig; LOSSY: proposed merge into generic ""other""; duplicate candidate: balloon (CANDIDATE ONLY)",PENDING,,,,
78,bandage,yes,2,0,medical,keep,,NO_REVIEW_NEEDED,,,,
181,batteries,no,363,363,other,"merge → electronics/battery","legacy key not in TagsConfig; CATEGORY MOVE to electronics; BrandsConfig references this key — must update together",PENDING,,,,
29,battery,yes,3,0,electronics,keep,,NO_REVIEW_NEEDED,,,,
138,beer_bottle,no,18074,18074,alcohol,"merge → alcohol/bottle","legacy key not in TagsConfig; BrandsConfig references this key — must update together",PENDING,,,,
137,beer_can,no,26488,26488,alcohol,"merge → alcohol/can","legacy key not in TagsConfig; BrandsConfig references this key — must update together",PENDING,,,,
127,bicycle,yes,1,0,vehicles,keep,,NO_REVIEW_NEEDED,,,,
16,blocked_drain,yes,5,0,civic,keep,,NO_REVIEW_NEEDED,,,,
192,books,no,71,71,other,"merge → other/other","legacy key not in TagsConfig; LOSSY: proposed merge into generic ""other""",PENDING,,,,
2,bottle,yes,2233,1070,alcohol|marine|softdrinks,"merge → marine/other","LOSSY: proposed merge into generic ""other""; canonical object tagged in a category with no pivot; BrandsConfig references this key — must update together",PENDING,,,,
4,bottle_cap,yes,225,0,alcohol|softdrinks,keep,,NO_REVIEW_NEEDED,,,,
146,bottletops,no,13018,13018,alcohol,"merge → alcohol/bottle_cap","legacy key not in TagsConfig; BrandsConfig references this key — must update together",PENDING,,,,
37,box,yes,176,0,food|smoking,keep,,NO_REVIEW_NEEDED,,,,
58,bricks,yes,242,0,industrial,keep,,NO_REVIEW_NEEDED,,,,
3,broken_glass,yes,107,0,alcohol|softdrinks,keep,"duplicate candidate: brokenglass (CANDIDATE ONLY)",PENDING,,,,
164,brokenglass,no,8160,8160,alcohol|softdrinks,"merge → alcohol/broken_glass , softdrinks/broken_glass","legacy key not in TagsConfig; duplicate candidate: broken_glass (CANDIDATE ONLY)",PENDING,,,,
128,bumper,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
63,buoy,yes,0,0,,keep,"duplicate candidate: buoys (CANDIDATE ONLY)",PENDING,,,,
196,buoys,no,189,189,marine,"merge → marine/buoy","legacy key not in TagsConfig; duplicate candidate: buoy (CANDIDATE ONLY)",PENDING,,,,
118,butts,yes,145241,0,smoking,keep,,NO_REVIEW_NEEDED,,,,
30,cable,yes,1,0,electronics,keep,,NO_REVIEW_NEEDED,,,,
187,cableTie,no,1203,1203,other,"merge → other/cable_tie","legacy key not in TagsConfig; duplicate candidate: cable_tie (CANDIDATE ONLY)",PENDING,,,,
95,cable_tie,yes,17,0,other,keep,"duplicate candidate: cableTie (CANDIDATE ONLY)",PENDING,,,,
5,can,yes,538,0,alcohol|food|softdrinks,keep,,NO_REVIEW_NEEDED,,,,
129,car_part,yes,15,0,vehicles,keep,,NO_REVIEW_NEEDED,,,,
124,carton,yes,117,0,softdrinks,keep,,NO_REVIEW_NEEDED,,,,
31,charger,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
195,chemical,no,36,36,industrial,"merge → industrial/chemical_container","legacy key not in TagsConfig",PENDING,,,,
56,chemical_container,yes,1,0,industrial,keep,,NO_REVIEW_NEEDED,,,,
38,chopsticks,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
141,cigarette_box,no,10245,10245,smoking,"merge → smoking/box","legacy key not in TagsConfig; BrandsConfig references this key — must update together",PENDING,,,,
88,clothing,yes,2899,0,other,keep,,NO_REVIEW_NEEDED,,,,
115,condom,yes,1,0,sanitary,keep,"duplicate candidate: condoms (CANDIDATE ONLY); BrandsConfig references this key — must update together",PENDING,,,,
116,condom_wrapper,yes,2,0,sanitary,keep,,NO_REVIEW_NEEDED,,,,
158,condoms,no,366,366,sanitary,"merge → sanitary/condom","legacy key not in TagsConfig; duplicate candidate: condom (CANDIDATE ONLY)",PENDING,,,,
57,construction,yes,27,0,industrial,keep,,NO_REVIEW_NEEDED,,,,
39,container,yes,38,0,food,keep,,NO_REVIEW_NEEDED,,,,
64,cotton_bud_stick,yes,1,0,marine,keep,,NO_REVIEW_NEEDED,,,,
65,crate,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
163,crisp_large,no,469,469,food,"merge → food/crisp_packet","legacy key not in TagsConfig; size unrepresentable — photo_tags has no size column; BrandsConfig references this key — must update together",PENDING,,,,
40,crisp_packet,yes,58,0,food,keep,,NO_REVIEW_NEEDED,,,,
157,crisp_small,no,5037,5037,food,"merge → food/crisp_packet","legacy key not in TagsConfig; size unrepresentable — photo_tags has no size column; BrandsConfig references this key — must update together",PENDING,,,,
6,cup,yes,27900,0,alcohol|coffee|softdrinks,keep,,NO_REVIEW_NEEDED,,,,
22,cup_carrier,yes,1,0,coffee,keep,,NO_REVIEW_NEEDED,,,,
41,cutlery,yes,3249,0,food,keep,,NO_REVIEW_NEEDED,,,,
110,dental_floss,yes,10,0,sanitary,keep,,NO_REVIEW_NEEDED,,,,
111,deodorant_can,yes,172,0,sanitary,keep,,NO_REVIEW_NEEDED,,,,
102,dogshit,yes,2187,1383,other|pets,"merge → pets/dogshit","canonical object tagged in a category with no pivot",PENDING,,,,
103,dogshit_in_bag,yes,2113,649,other|pets,"merge → pets/dogshit_in_bag","canonical object tagged in a category with no pivot",PENDING,,,,
165,dump,no,9733,9733,other,"merge → dumping/dumping","legacy key not in TagsConfig; CATEGORY MOVE to dumping",PENDING,,,,
28,dumping,yes,20649,0,dumping,keep,,NO_REVIEW_NEEDED,,,,
166,earSwabs,no,294,294,sanitary,"merge → sanitary/ear_swabs","legacy key not in TagsConfig; duplicate candidate: ear_swabs (CANDIDATE ONLY)",PENDING,,,,
161,ear_plugs,no,46,46,other,"merge → sanitary/other","legacy key not in TagsConfig; LOSSY: proposed merge into generic ""other""; CATEGORY MOVE to sanitary",PENDING,,,,
106,ear_swabs,yes,19,0,sanitary,keep,"duplicate candidate: earSwabs (CANDIDATE ONLY)",PENDING,,,,
169,elec_large,no,100,100,other,"merge → electronics/other","legacy key not in TagsConfig; LOSSY: proposed merge into generic ""other""; CATEGORY MOVE to electronics",PENDING,,,,
174,elec_small,no,385,385,other,"merge → electronics/other","legacy key not in TagsConfig; LOSSY: proposed merge into generic ""other""; CATEGORY MOVE to electronics",PENDING,,,,
156,energy_can,no,20931,20931,softdrinks,"merge → softdrinks/can","legacy key not in TagsConfig; BrandsConfig references this key — must update together",PENDING,,,,
79,face_mask,yes,17,0,medical,keep,"duplicate candidate: facemask (CANDIDATE ONLY)",PENDING,,,,
183,facemask,no,7910,7910,sanitary,"merge → medical/face_mask","legacy key not in TagsConfig; CATEGORY MOVE to medical; duplicate candidate: face_mask (CANDIDATE ONLY)",PENDING,,,,
17,fallen_tree,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
167,filters,no,852,852,smoking,"merge → smoking/rolling_filter","legacy key not in TagsConfig",PENDING,,,,
66,fishing_hook,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
67,fishing_line,yes,5,0,marine,keep,,NO_REVIEW_NEEDED,,,,
68,fishing_lure,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
69,fishing_net,yes,4,0,marine,keep,"duplicate candidate: fishing_nets (CANDIDATE ONLY)",PENDING,,,,
173,fishing_nets,no,1154,1154,marine,"merge → marine/fishing_net","legacy key not in TagsConfig; duplicate candidate: fishing_net (CANDIDATE ONLY)",PENDING,,,,
145,fizzy_bottle,no,7831,7831,softdrinks,"merge → softdrinks/bottle","legacy key not in TagsConfig; BrandsConfig references this key — must update together",PENDING,,,,
97,furniture,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
7,glass,yes,123,0,alcohol,keep,,NO_REVIEW_NEEDED,,,,
159,glass_jar,no,188,188,food,"merge → food/jar","legacy key not in TagsConfig",PENDING,,,,
80,gloves,yes,2586,2562,medical|sanitary,"merge → medical/gloves","canonical object tagged in a category with no pivot",PENDING,,,,
13,graffiti,yes,11,0,art,keep,,NO_REVIEW_NEEDED,,,,
42,gum,yes,490,0,food,keep,,NO_REVIEW_NEEDED,,,,
160,hair_tie,no,546,546,other,"merge → sanitary/other","legacy key not in TagsConfig; LOSSY: proposed merge into generic ""other""; CATEGORY MOVE to sanitary",PENDING,,,,
32,headphones,yes,1,0,electronics,keep,,NO_REVIEW_NEEDED,,,,
130,hubcap,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
186,iceTea_bottle,no,851,851,softdrinks,"merge → softdrinks/bottle","legacy key not in TagsConfig",PENDING,,,,
194,icedTea_can,no,607,607,softdrinks,"merge → softdrinks/can","legacy key not in TagsConfig",PENDING,,,,
81,inhaler,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
185,item,no,43,43,art,"merge → art/other","legacy key not in TagsConfig; LOSSY: proposed merge into generic ""other""",PENDING,,,,
43,jar,yes,1,0,food,keep,,NO_REVIEW_NEEDED,,,,
155,juice_bottle,no,1940,1940,softdrinks,"merge → softdrinks/bottle","legacy key not in TagsConfig; BrandsConfig references this key — must update together",PENDING,,,,
154,juice_carton,no,2327,2327,softdrinks,"merge → softdrinks/carton","legacy key not in TagsConfig; BrandsConfig references this key — must update together",PENDING,,,,
125,juice_pouch,yes,2263,0,softdrinks,keep,,NO_REVIEW_NEEDED,,,,
8,label,yes,3154,0,softdrinks,keep,,NO_REVIEW_NEEDED,,,,
197,lego,no,3,3,marine,"merge → other/other","legacy key not in TagsConfig; LOSSY: proposed merge into generic ""other""; CATEGORY MOVE to other; BrandsConfig references this key — must update together",PENDING,,,,
131,license_plate,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
23,lid,yes,25001,0,coffee|food|softdrinks,keep,,NO_REVIEW_NEEDED,,,,
184,life_buoy,no,11,11,other,"merge → marine/buoy","legacy key not in TagsConfig; CATEGORY MOVE to marine",PENDING,,,,
132,light,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
33,light_bulb,yes,1,0,electronics,keep,,NO_REVIEW_NEEDED,,,,
119,lighters,yes,886,60,marine|smoking,"merge → smoking/lighters","canonical object tagged in a category with no pivot",PENDING,,,,
18,loose_cables,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
